Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
14:16:49,20.4,50.6,66.1,1.55,Idle,On
14:16:51,20.4,50.5,66.1,1.55,Idle,On
14:16:53,20.4,50.5,66.1,1.54,Idle,On
14:16:56,20.4,50.4,66.1,1.53,Idle,On
14:16:58,20.4,50.5,66.1,1.55,Idle,On
14:17:00,20.3,50.4,66.1,1.56,Idle,On
14:17:02,20.4,50.4,66.1,1.55,Idle,On
14:17:05,20.4,50.6,66.2,1.54,Idle,On
14:17:07,20.4,50.5,66.5,1.55,Idle,On
14:17:09,20.4,50.5,66.1,1.56,Idle,On
14:17:11,20.4,50.5,66.0,1.60,Idle,On
14:17:14,20.4,50.5,66.1,1.59,Idle,On
14:17:16,20.4,50.5,66.2,1.59,Idle,On
14:17:18,20.4,50.4,66.2,1.56,Idle,On
14:17:20,20.4,50.5,66.0,1.54,Idle,On
14:17:23,20.4,50.5,66.2,1.55,Idle,On
14:17:25,20.4,50.5,66.1,1.54,Idle,On
14:17:27,20.4,50.6,66.1,1.55,Idle,On
14:17:29,20.3,50.5,66.0,1.52,Idle,On
14:17:32,20.4,50.5,66.1,1.58,Idle,On
14:17:34,20.3,50.6,66.2,1.61,Idle,On
14:17:36,20.3,50.5,66.1,1.59,Idle,On
14:17:38,20.4,50.5,66.1,1.60,Idle,On
14:17:41,20.3,50.5,66.2,1.58,Idle,On
14:17:43,20.3,50.6,66.1,1.61,Idle,On
14:17:45,20.3,50.6,66.1,1.59,Idle,On
14:17:47,20.3,50.5,66.1,1.52,Idle,On
14:17:50,20.4,50.6,66.1,1.53,Idle,On
14:17:52,20.3,50.5,66.1,1.52,Idle,On
14:17:54,20.3,50.5,66.1,1.53,Idle,On
14:17:56,20.3,50.5,66.1,1.52,Idle,On
14:17:59,20.4,50.5,66.1,1.60,Idle,On
14:18:01,20.3,50.6,66.2,1.57,Idle,On
14:18:03,20.3,50.5,66.1,1.55,Idle,On
14:18:05,20.3,50.5,66.2,1.52,Idle,On
14:18:08,20.4,50.5,66.1,1.54,Idle,On
14:18:10,20.3,50.6,66.2,1.54,Idle,On
14:18:12,20.3,50.5,66.1,1.56,Idle,On
14:18:14,20.4,50.6,66.1,1.55,Idle,On
14:18:17,20.3,50.5,66.2,1.56,Idle,On
14:18:19,20.3,50.6,66.1,1.52,Idle,On
14:18:21,20.3,50.6,66.0,1.56,Idle,On
14:18:23,20.3,50.5,66.1,1.59,Idle,On
14:18:26,20.3,50.5,66.1,1.55,Idle,On
14:18:28,20.3,50.6,66.2,1.58,Idle,On
14:18:30,20.3,50.6,66.1,1.58,Idle,On
14:18:33,20.3,50.6,66.0,1.59,Idle,On
14:18:35,20.3,50.6,66.1,1.58,Idle,On
14:18:37,20.3,50.6,66.1,1.56,Idle,On
14:18:39,20.3,50.6,66.1,1.56,Idle,On
14:18:42,20.3,50.6,66.1,1.55,Idle,On
14:18:44,20.3,50.6,66.1,1.55,Idle,On
14:18:46,20.3,50.6,66.1,1.56,Idle,On
14:18:48,20.3,50.6,66.2,1.60,Idle,On
14:18:51,20.3,50.6,66.0,1.59,Idle,On
14:18:53,20.3,50.6,66.1,1.60,Idle,On
14:18:55,20.3,50.6,66.1,1.59,Idle,On
14:18:57,20.3,50.6,66.1,1.59,Idle,On
14:19:00,20.3,50.6,66.1,1.55,Idle,On
14:19:02,20.3,50.6,66.2,1.54,Idle,On
14:19:04,20.3,50.6,66.1,1.56,Idle,On
14:19:06,20.3,50.6,66.1,1.55,Idle,On
14:19:09,20.3,50.6,66.1,1.59,Idle,On
14:19:11,20.3,50.6,66.1,1.55,Idle,On
14:19:13,20.3,50.6,66.1,1.55,Idle,On
14:19:15,20.3,50.6,66.2,1.55,Idle,On
14:19:18,20.4,50.6,66.1,1.54,Idle,On
14:19:20,20.3,50.7,66.1,1.55,Idle,On
14:19:22,20.3,50.7,66.2,1.55,Idle,On
14:19:24,20.3,50.6,66.1,1.54,Idle,On
14:19:27,20.3,50.6,66.1,1.48,Idle,On
14:19:29,20.3,50.7,66.1,1.52,Idle,On
14:19:31,20.3,50.7,66.2,1.55,Idle,On
14:19:33,20.3,50.7,66.2,1.55,Idle,On
14:19:36,20.3,50.7,66.2,1.55,Idle,On
14:19:38,20.3,50.7,66.2,1.53,Idle,On
14:19:40,20.3,50.6,66.1,1.55,Idle,On
14:19:42,20.3,50.6,66.2,1.52,Idle,On
14:19:45,20.3,50.7,66.0,1.55,Idle,On
14:19:47,20.3,50.7,66.2,1.53,Idle,On
14:19:49,20.3,50.7,66.1,1.53,Idle,On
14:19:51,20.3,50.6,66.1,1.53,Idle,On
14:19:54,20.3,50.7,66.2,1.53,Idle,On
14:19:56,20.3,50.7,66.1,1.49,Idle,On
14:19:58,20.3,50.7,66.1,1.42,Idle,On
14:20:00,20.3,50.8,66.1,1.48,Idle,On
14:20:03,20.3,50.7,66.2,1.52,Idle,On
14:20:05,20.3,50.7,66.2,1.54,Idle,On
14:20:07,20.3,50.8,66.1,1.52,Idle,On
14:20:09,20.3,50.7,66.1,1.53,Idle,On
14:20:12,20.3,50.7,66.1,1.47,Idle,On
14:20:14,20.3,50.7,66.1,1.51,Idle,On
14:20:16,20.3,50.8,66.1,1.55,Idle,On
14:20:18,20.3,50.8,66.2,1.46,Idle,On
14:20:21,20.3,50.8,66.1,1.56,Idle,On
14:20:23,20.3,50.7,66.1,1.53,Idle,On
14:20:25,20.3,50.7,66.0,1.55,Idle,On
14:20:28,20.3,50.7,66.1,1.54,Idle,On
14:20:30,20.3,50.8,66.1,1.54,Idle,On
14:20:32,20.3,50.8,66.2,1.56,Idle,On
14:20:34,20.3,50.7,66.1,1.52,Idle,On
14:20:37,20.3,50.7,66.2,1.55,Idle,On
14:20:39,20.3,50.8,66.1,1.51,Idle,On
14:20:41,20.3,50.7,66.1,1.53,Idle,On
14:20:43,20.3,50.8,66.3,1.54,Idle,On
14:20:46,20.3,50.8,66.1,1.55,Idle,On
14:20:48,20.3,50.9,66.1,1.55,Idle,On
14:20:50,20.3,50.8,66.1,1.51,Idle,On
14:20:52,20.3,50.8,66.1,1.60,Idle,On
14:20:55,20.3,50.8,66.1,1.59,Idle,On
14:20:57,20.3,50.8,66.1,1.55,Idle,On
14:20:59,20.3,50.8,66.1,1.50,Idle,On
14:21:01,Error,Error,66.2,1.51,Idle,On
14:21:04,20.3,50.8,66.2,1.56,Idle,On
14:21:06,20.3,50.7,66.1,1.50,Idle,On
14:21:08,20.3,50.8,66.1,1.52,Idle,On
14:21:10,20.3,50.8,66.1,1.52,Idle,On
14:21:13,20.3,50.7,66.0,1.53,Idle,On
14:21:15,20.3,50.7,66.2,1.53,Idle,On
14:21:17,20.3,50.7,66.2,1.57,Idle,On
14:21:19,20.3,50.7,66.1,1.58,Idle,On
14:21:22,20.3,50.7,66.1,1.57,Idle,On
14:21:24,20.3,50.7,66.3,1.55,Idle,On
14:21:26,20.3,50.7,66.1,1.54,Idle,On
14:21:28,20.2,50.7,66.1,1.54,Idle,On
14:21:31,20.3,50.7,66.1,1.53,Idle,On
14:21:33,20.2,50.7,66.1,1.55,Idle,On
14:21:35,20.3,50.7,66.1,1.56,Idle,On
14:21:37,20.3,50.8,66.1,1.55,Idle,On
14:21:40,20.3,50.8,66.2,1.57,Idle,On
14:21:42,20.3,50.7,66.1,1.59,Idle,On
14:21:44,20.3,50.7,66.2,1.57,Idle,On
14:21:47,20.2,50.7,66.1,1.58,Idle,On
14:21:49,20.2,50.8,66.1,1.57,Idle,On
14:21:51,20.3,50.8,66.1,1.58,Idle,On
14:21:53,20.2,50.7,66.2,1.59,Idle,On
14:21:56,20.2,50.8,66.2,1.57,Idle,On
14:21:58,20.3,50.8,66.1,1.57,Idle,On
14:22:00,20.3,50.8,66.2,1.58,Idle,On
14:22:02,20.3,50.8,66.2,1.58,Idle,On
